Topic,Theme,Key_Terms,Count
-1,"Equipment, people, it, machines, one related","equipment, people, it, machines, one, changing, weights, get, always, clean",6539
0,"Parking, car, park, reg, fines related","parking, car, park, reg, fines, free, fine, ticket, 85, enter",328
1,"Machines, phones, filming, tripods, sitting related","machines, phones, filming, tripods, sitting, machine, phone, sit, crowded, machinery",289
2,"Air, conditioning, ac, hot, aircon related","air, conditioning, ac, hot, aircon, con, summer, heat, units, fans",209
3,"Toilets, toilet, soap, bathroom, dirty related","toilets, toilet, soap, bathroom, dirty, urine, mens, sinks, cleaned, disgusting",182
4,"Atmosphere, relaxed, friendly, lovely, nice related","atmosphere, relaxed, friendly, lovely, nice, great, peaceful, chilled, calm, nontoxic",168
5,"Atmosphere, equipment, quality, friendly, nice related","atmosphere, equipment, quality, friendly, nice, relaxed, plenty, excellent, kit, good",158
6,"Instructors, instructor, classes, fab, sara related","instructors, instructor, classes, fab, sara, attentive, great, enjoy, professional, brilliant",151
7,"Range, classes, mats, selection, equipment related","range, classes, mats, selection, equipment, choice, lots, good, satisfied, frequent",149
8,"Class, tone, body, carla, sweat related","class, tone, body, carla, sweat, bodytone, exercises, abs, libby, instructor",136
