End_Date,ISBN,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher_Group,Product_Class,Category
2012-01-07,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201201,512,2522.13,4.926,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-01-07,9780722532935,The Alchemist,"Coelho, Paulo",201201,518,3601.76,6.9532,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-01-14,9780722532935,The Alchemist,"Coelho, Paulo",201202,533,3610.12,6.7732,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-01-14,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201202,519,2473.31,4.7655,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-01-21,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201203,574,2757.83,4.8046,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-01-21,9780722532935,The Alchemist,"Coelho, Paulo",201203,475,3105.62,6.5381,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-01-28,9780722532935,The Alchemist,"Coelho, Paulo",201204,514,3431.29,6.6757,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-01-28,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201204,621,3072.66,4.9479,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-02-04,9780722532935,The Alchemist,"Coelho, Paulo",201205,591,3929.22,6.6484,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-02-04,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201205,1140,4724.18,4.144,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-02-11,9780722532935,The Alchemist,"Coelho, Paulo",201206,441,2874.98,6.5192,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-02-11,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201206,1037,4402.26,4.2452,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-02-18,9780722532935,The Alchemist,"Coelho, Paulo",201207,450,3073.17,6.8293,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-02-18,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201207,1060,4518.39,4.2626,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-02-25,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201208,931,4260.39,4.5761,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-02-25,9780722532935,The Alchemist,"Coelho, Paulo",201208,384,2544.06,6.6252,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-03-03,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201209,900,4442.05,4.9356,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-03-03,9780722532935,The Alchemist,"Coelho, Paulo",201209,653,4283.9,6.5603,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-03-10,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201210,702,3505.46,4.9935,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
2012-03-10,9780722532935,The Alchemist,"Coelho, Paulo",201210,766,5124.93,6.6905,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F Adult Fiction
2012-03-17,9780241003008,The Very Hungry Caterpillar,"Carle, Eric",201211,669,3442.27,5.1454,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational"
