Customer ID,frequency,Recency,clv,Avg_Unit_Cost,Age
1,35.09,3031,4322.7,9.1,46
3,86.95,3138,2821.0,56.9,46
4,36.38,4122,782.67,18.5,46
5,100.33,3019,2810.98,29.6,27
6,87.14,3206,1604.58,23.6,47
7,52.43,3139,2362.7,132.2,61
9,76.33,3132,3251.7000000000003,164.0,28
10,29.58,3032,3544.89,1.6,30
11,221.75,3049,499.99,129.9,41
12,105.6,3118,1715.0,30.0,41
13,118.2,3540,1301.4,143.1,66
16,57.04,3388,3754.8,145.1,66
17,210.2,3469,834.15,86.4,30
18,670.5,3332,278.1,15.4,30
19,33.61,3414,2905.3,73.4,57
20,263.4,3432,817.5,25.3,31
21,96.46,3032,877.8,227.2,36
23,101.5,3763,2303.0,51.2,36
24,157.5,3111,608.6,49.0,66
25,42.83,3805,445.1,44.5,56
26,245.86,3036,909.1,41.4,36
27,31.43,3131,1093.6,24.2,31
29,35.44,3447,1061.3,29.2,46
30,76.2,3042,1553.0,40.8,66
31,132.75,3033,2036.4,48.1,41
33,78.5,3540,1155.5,31.3,51
34,139.5,3057,1803.9,118.0,51
36,121.88,3757,1511.75,72.0,46
37,81.21,3539,2540.3,19.5,32
39,38.0,3612,27.089999999999996,126.0,41
40,216.67,3035,485.88,15.8,41
41,91.53,3073,1583.3,94.1,31
42,462.33,3186,408.0,36.6,31
44,78.33,3023,1953.0,90.0,66
45,84.81,3039,3555.66,1.2,56
46,144.33,3026,1436.7,18.9,67
47,62.08,3185,4393.4,19.9,29
48,170.29,3425,786.1999999999999,16.7,47
49,109.46,3039,748.8,184.0,46
50,96.9,3389,1603.9,207.9,27
51,93.36,3383,2244.5,14.5,27
52,60.6,3396,2202.6,47.5,57
53,130.6,3156,1905.4,14.5,27
56,296.4,3284,293.5,66.3,27
58,123.62,3078,1585.2,37.0,61
59,158.6,3080,917.9,155.7,31
60,18.5,3501,374.1,96.9,57
61,56.19,3067,5087.4,18.2,29
63,139.6,3433,832.59,30.7,81
64,628.0,3229,201.3,12.6,81
65,122.0,3164,2312.5,15.2,52
68,0.0,4645,569.2,3.5,41
69,28.0,3088,26.7,36.3,29
71,120.2,3502,1642.6000000000001,90.8,29
72,93.06,3050,2063.96,22.2,37
73,54.25,3770,1347.4,190.2,28
74,23.6,3028,7162.68,174.2,28
75,175.33,4160,247.6,67.3,57
76,49.37,3091,4536.58,73.8,57
77,40.5,3014,7663.67,54.2,72
78,45.79,3140,4297.18,153.0,56
79,97.5,3804,738.8,44.5,72
81,77.48,3016,4342.2,33.2,28
83,77.19,3053,2343.4,83.7,42
84,56.54,3018,5027.67,20.4,42
86,136.83,3804,466.6,1.4,51
88,141.44,3422,1134.4,125.4,27
89,94.2,3030,1954.82,93.0,66
90,44.43,3056,1774.3,40.4,31
91,173.17,3143,1169.3,15.2,46
92,188.83,3258,1067.6,10.2,46
94,46.56,3056,3750.6,41.8,27
95,128.83,3108,1175.88,7.6,27
96,109.46,3164,1109.3,27.3,51
97,500.0,3612,881.6,46.7,31
98,41.67,3239,705.8,160.9,31
99,155.2,3096,980.1,255.9,51
101,153.0,3794,563.59,48.4,57
102,120.0,3393,1837.2,81.3,46
104,53.0,4147,673.6999999999999,50.2,28
105,236.5,4157,213.5,227.3,46
106,123.21,3031,2953.7,29.7,61
108,64.24,3027,3563.6,44.9,31
109,63.59,3071,4003.9,39.2,41
111,74.56,3355,2459.7,85.2,37
115,585.0,4131,133.3,10.8,37
117,156.38,3215,808.6,165.6,61
121,63.04,3068,4685.900000000001,73.4,81
122,187.33,3079,290.4,51.2,42
123,54.16,3147,2790.59,289.3,42
124,82.0,4169,327.20000000000005,54.2,56
125,180.38,3097,1935.2,91.0,61
126,106.54,3062,2732.3,64.6,37
